ENTITY,IN,OUT,CAUSE_OUT,BIN,SECTOR,EMP,REV,CAP
Gabetti ps,Jun-12,ancora in bl,,,immobiliare,270,34,37
LVenture group (le buone società),Jun-12,ancora in bl,,,holding ,,0,
Pierrel,Jun-12,ancora in bl,,,farmaceutica,105,14,12
Premafin,Jun-12,ancora in bl,,,holding,20,2300,359
Sopaf in liquidazione,Jun-12,ancora in bl,,,holding finanziaria,45,6,
Rdb,Jul-12,ancora in bl,,,costruzione ed edilizia,915,140,
Uni Land,Jul-12,ancora in bl,,,immobiliare e edilizia,8,33,
Cdc point,Sep-12,ancora in bl,,,information technology,408,309,5
Eems italia,Sep-12,ancora in bl,,,fotovoltaico e semiconduttori,1452,0,12
Prelios,Sep-12,ancora in bl,,,immobiliare,980,180,50
